,Pořadí na kandidátce v 2002,"Příjmení, jméno",Tituly 2002,Věk 2002,Navrhující strana,Politická příslušnost,Hlasy abs. 2002,Hlasy v % 2002,Pořadí zvolení v 2002,Mandát v 2002,Pořadí na kandidátce v 2006,Tituly 2006,Věk 2006,Hlasy abs. 2006,Hlasy v % 2006,Pořadí zvolení v 2006,Mandát v 2006,Pořadí na kandidátce v 2010,Tituly 2010,Věk 2010,Hlasy abs. 2010,Hlasy v % 2010,Pořadí zvolení v 2010,Mandát v 2010,Pořadí na kandidátce v 2014,Tituly 2014,Věk 2014,Hlasy abs. 2014,Hlasy v % 2014,Pořadí zvolení v 2014,Mandát v 2014,Pořadí na kandidátce v 2018,Tituly 2018,Věk 2018,Hlasy abs. 2018,Hlasy v % 2018,Pořadí zvolení v 2018,Mandát v 2018
52,36.0,Černá Hana,,43.0,PVP,BEZPP,3542.0,1.93,32.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,13.0,Černý Karel,,54.0,PVP,KAN,3826.0,2.08,11.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,3.0,Čipera Ivan,Ing.,40.0,SZ,SZ,2609.0,3.63,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,12.0,Čipera Vladimír,,37.0,SZ,BEZPP,1450.0,2.01,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,40.0,Daniel Antonín,,39.0,ODS,ODS,14834.0,1.99,20.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,21.0,Dbalý Miroslav,Ing.,58.0,ČSSD,ČSSD,8589.0,2.12,11.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,14.0,Divišová Ivanka,,54.0,KSČM,KSČM,5703.0,2.19,6.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,17.0,Divišová Jana,,34.0,ODA,BEZPP,592.0,2.27,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,30.0,Dolanský Petr,RNDr.,60.0,ODA,BEZPP,883.0,3.39,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,18.0,Dolanský Petr,,34.0,US-DEU,US-DEU,2703.0,2.27,15.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,28.0,Dolejš Jiří,,53.0,SZ,SZ,1249.0,1.73,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2.0,Doležalová Ivonna,,42.0,SZ,BEZPP,2408.0,3.35,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,24.0,Doležel Tomáš,MUDr.,45.0,US-DEU,US-DEU,2513.0,2.11,21.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,8.0,Domanický Petr,Ing. arch.,29.0,US-DEU,BEZPP,3898.0,3.28,3.0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,8.0,Dostálová Danuše,,31.0,SŽJ,SŽJ,449.0,5.09,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,46.0,Dostálová Vlastimila,Mgr.,55.0,ODS,ODS,13623.0,1.83,26.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,29.0,Drápalová Barbora,Bc.,25.0,KDU-ČSL,KDU-ČSL,2611.0,1.79,26.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,22.0,Drnek Jan,,41.0,PVP,BEZPP,3563.0,1.94,19.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,42.0,Duda Bohuslav,,35.0,ODS,ODS,14575.0,1.96,22.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,27.0,Duda Milan,JUDr.,44.0,KDU-ČSL,KDU-ČSL,2927.0,2.0,24.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1.0,Duchek Vladimír,Ing. Ph.D.,37.0,PVP,PVP,6110.0,3.33,2.0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,32.0,Duchková Stanislava,prom.ped.,65.0,ODS,ODS,15280.0,2.05,12.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,35.0,Fajfrová Eva,RNDr.,48.0,KDU-ČSL,KDU-ČSL,2658.0,1.82,32.0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
