,Pořadí na kandidátce v 2002,"Příjmení, jméno",Tituly,Věk,Navrhující strana,Politická příslušnost,Hlasy abs. 2002,Hlasy v % 2002,Pořadí zvolení v 2002,Mandát v 2002,Pořadí na kandidátce v 2006,Hlasy abs. 2006,Hlasy v % 2006,Pořadí zvolení v 2006,Mandát v 2006,Pořadí na kandidátce v 2010,Hlasy abs. 2010,Hlasy v % 2010,Pořadí zvolení v 2010,Mandát v 2010,Pořadí na kandidátce v 2014,Hlasy abs. 2014,Hlasy v % 2014,Pořadí zvolení v 2014,Mandát v 2014,Pořadí na kandidátce v 2018,Hlasy abs. 2018,Hlasy v % 2018,Pořadí zvolení v 2018,Mandát v 2018
50,42.0,Čechurová Šárka,Mgr.,44,PVP,BEZPP,3 106,1.69,38.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
51,41.0,Čejka Jaroslav,,69,US-DEU,US-DEU,1 926,1.62,38.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
52,36.0,Černá Hana,,43,PVP,BEZPP,3 542,1.93,32.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
53,13.0,Černý Karel,,54,PVP,KAN,3 826,2.08,11.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
54,3.0,Čipera Ivan,Ing.,40,SZ,SZ,2 609,3.63,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
55,12.0,Čipera Vladimír,,37,SZ,BEZPP,1 450,2.01,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
56,40.0,Daniel Antonín,,39,ODS,ODS,14 834,1.99,20.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
57,21.0,Dbalý Miroslav,Ing.,58,ČSSD,ČSSD,8 589,2.12,11.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
58,14.0,Divišová Ivanka,,54,KSČM,KSČM,5 703,2.19,6.0,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
59,17.0,Divišová Jana,,34,ODA,BEZPP,592,2.27,,-,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0
